PCA1,PCA2,Cluster,Chemical Oxygen Demand
-1.3157834657686864,-1.10043880840428,0,730.0
-1.4724135902740672,-1.3337851120326474,0,740.0
0.7427299370360589,0.0018926369609505206,2,836.0
0.16715012278641858,-0.6657244639315484,0,850.0
1.794295855312951,-0.21303039311552416,1,1016.0
0.061169386338859946,-0.08136462759497382,2,820.0
3.0168007391434477,-0.09135709076826772,1,1110.0
-0.09890214723528043,0.3141894851592629,2,730.0
-1.252056167347306,-1.165495242485716,0,710.0
1.8310985745196733,-0.7989913184266237,1,830.0
1.3560742628081992,0.3836129519786097,1,870.0
-0.9334941451350167,1.0638709659454761,2,590.0
2.5026549495059767,-1.752311110930215,1,1200.0
0.8155987479895042,-0.733187076900429,1,930.0
1.2751615681916615,-1.0322519674176784,1,1011.0
3.512916825435441,-0.12704424554994476,1,980.0
0.7013039613374852,-0.407531722922864,1,862.0
0.22949690413412405,0.6347626904779101,2,760.0
-0.3619412923374495,-0.10046407552095778,0,690.0
-2.7724885192652415,-0.21265060396623284,0,573.0
-0.8929498531209081,-0.6782406428484719,0,720.0
0.39279593423142023,-0.18316041523071586,2,840.0
0.12486799599478027,0.630040773704012,2,688.0
0.32514078561757154,0.44709312896795034,2,781.0
-0.29771893668029925,-0.4909176620795943,0,783.0
-1.6222871752609744,1.8740544554736713,2,740.0
0.5626733598100948,0.6717231481634129,2,770.0
0.013120128170518885,0.22615916153813115,2,755.0
0.32925534682068613,-0.9476322432563552,1,871.0
-0.33265549792489907,0.03928820746843701,2,871.0
0.27939373484168994,-0.7406134518396976,1,841.0
0.39005334246295936,-0.5064364473481021,2,833.0
-0.4725811924578417,-0.0430788957710795,0,715.0
-1.6105788321691077,-0.17564222372881197,0,828.0
0.8319885074620541,-0.7828219182519307,1,907.0
-0.11392089842979627,-0.3708669080097201,0,811.0
-0.5243928336778981,-1.1007967742064413,0,809.0
-0.9660777198923822,-0.32062341509418846,0,949.0
0.4522649459058957,-0.5441428035582738,1,843.0
1.0402895727003936,-0.9191992354912015,1,944.0
1.5444843037831988,-0.2977088782714567,1,979.0
0.7907316006305014,-0.21349655760609856,1,869.0
-0.1407638982028104,0.5143037172287555,2,702.0
0.04202793767889271,0.09908964034753834,2,870.0
0.5531898365707004,-0.988364449327782,1,874.0
-0.42748965312986476,-0.7511455116480129,0,801.0
1.1499391064367468,-0.7395783282729806,1,955.0
0.6212178155732728,-0.41332739913002886,1,868.0
0.3273382950665918,-0.23301569787028104,2,820.0
0.9152537563974402,0.9921447559189146,2,840.0
1.1635381997172127,-0.10203943732042836,1,930.0
0.16969193332288457,0.04537402575874594,2,810.0
-0.07517064750764842,0.4818706750152578,2,710.0
-0.41786467684944506,-0.2651884768231415,0,750.0
0.07036921676676626,-1.190576637856727,0,850.0
1.1429873574071154,-1.494886747754957,1,930.0
0.7620820423333641,-1.0228398335146396,1,915.0
1.2630938911772032,-0.6854784093462418,1,970.0
0.10444325496219661,-1.067562677502731,0,845.0
0.2676435447811202,-1.5482779170085974,1,925.0
0.983550779863404,0.39547676839797047,2,845.0
0.4348814731498957,-1.0462618156885928,1,855.0
0.6395989878260364,-0.07955487617166862,2,830.0
0.4935699748424061,-0.7684310931186762,1,840.0
1.3822011890815105,-0.5170719131027164,1,945.0
0.07777363065505533,-0.2515127309954565,2,920.0
0.6653622750350785,-0.781972293233632,1,915.0
0.13553588206024844,-0.0632332155906967,2,810.0
-0.24499782006542992,-0.37633426478773924,0,780.0
-0.92097073343822,0.8129092181485083,2,835.0
-0.8435768131815559,-0.6006042930362047,0,730.0
-1.9284562875583313,-1.111300461845605,0,646.0
-0.8045190654080594,-0.20645737931533065,0,670.0
-1.2198483988968454,0.9593057223865331,0,744.0
-0.08647014270413583,0.4690952013611957,2,715.0
-1.5583768807952343,-0.83700696006456,0,690.0
-0.5339634768186151,-0.4525220269697817,0,742.0
-0.9705661650891615,-0.1522117986797128,0,740.0
-0.9305040731585945,-0.5576984986273886,0,680.0
-0.5044834311371793,-0.308696686032766,0,730.0
-0.4431551118492318,-0.005768557995794291,0,740.0
-0.6111443324462768,0.6450584517423005,2,690.0
0.1929089424752505,-0.5830465383739099,2,830.0
0.25105506797664834,0.13569937890444703,2,814.0
-2.981553298801341,-0.5018195976210654,0,605.0
-0.7705027057945653,-1.1531149715832247,0,800.0
-0.7899055916438213,-0.5622327903502521,0,714.0
-0.6890220368368352,1.2303617049292674,2,720.0
-0.41071336111411827,-0.1815007329687295,0,760.0
-0.23280484200872145,0.21822126283106325,2,770.0
0.0344097288565495,0.8338058877175423,2,740.0
0.1274074222456325,0.42238932301274074,2,760.0
0.035279261718550246,-1.1296246275603978,0,870.0
-2.4115536038667433,0.9706230160446366,0,760.0
-0.06331628703469856,0.03724193143015028,2,785.0
0.3585152241547893,-1.0353166855949743,1,900.0
-0.8609457344093067,-0.7260125005981798,0,735.0
-0.48790712011816667,-0.5973146762430277,0,790.0
0.30514618403159455,-0.8565851240098455,1,880.0
-0.6575548670966888,-0.9982206404423704,0,816.0
-0.4450501671795091,-0.7918135590004205,0,816.0
-0.19486005699036227,0.4990250616042943,2,710.0
-0.6871491671985436,-1.0515589198133246,0,800.0
-0.2973650150143666,-1.6765946482766634,0,840.0
-0.23003489069829572,-0.27937114951056624,0,785.0
-0.07440851580306525,-0.4040980110450961,0,815.0
-0.8586022090363785,-0.6543735617085965,0,710.0
-0.38957110557549224,-0.37000838159572685,0,785.0
-0.6045728393664136,-0.8779166522029002,0,775.0
-0.3188763845182546,-0.023580704806802993,2,667.0
0.44500893368430333,1.0406111655793973,2,766.0
-0.29773094300157743,0.31389653037487353,2,740.0
-0.8209156766864333,-0.2904771357257925,0,700.0
0.7318260703445482,-0.6990188452602843,1,785.0
0.7505467066404929,-0.06998061194315837,1,900.0
0.531373420059761,-0.40620851054474544,1,870.0
-0.7752999308420295,-0.06835262932593004,0,660.0
-0.7831672723957211,1.187932222483677,2,711.0
-0.48892102075221555,-0.5223155441109381,0,764.0
-1.0111132094557607,-0.3565669091671311,0,693.0
-0.6052601764193171,-0.31440589191930257,0,737.0
-1.296611858990105,0.34687186409286713,0,750.0
-1.8010606493824908,-0.1466844863125294,0,620.0
-2.5437333849149546,-0.9367465884828817,0,616.0
2.4253748708358707,-1.105847935939112,1,1137.0
-0.26976574438198714,0.59447355822757,2,720.0
-0.4347812536040775,0.1209288596012463,2,735.0
-0.9028397267300473,-0.4498179259671792,0,774.0
-0.15377918261449805,0.7633273314220363,2,695.0
-0.26918713916717407,0.21069784819340368,2,735.0
-0.244687457621571,0.018830006323899865,2,761.0
-2.1306444778690063,0.35622045063761737,0,580.0
-0.6850785592622997,-0.18082637941688864,0,734.0
-2.541972382497117,-0.5027898714987239,0,737.0
-1.8648548818117698,0.7466611369932894,0,510.0
-1.0465134315851632,2.0201945010312983,2,500.0
-1.476624829312659,0.7913479534934914,0,554.0
-1.2088448755373276,0.6908526728560542,0,615.0
-1.322183232991714,0.6367790643381941,0,600.0
-2.891993828502966,0.2416491378654104,0,586.0
-0.6971844815191968,0.21777453249850937,0,675.0
-0.5172480016815197,-0.12304684921419222,0,745.0
-0.9419599409912323,-0.8007709930832722,0,765.0
-0.41981832423694326,0.21789197487841924,2,740.0
0.21478065473968605,-0.1609606950270603,2,840.0
-2.765205830125401,0.09506093970259373,0,920.0
-1.9935985215466954,0.24157168516522273,0,613.0
-1.0207401557307558,-0.23139043985645877,0,650.0
-1.035531886772114,-0.5512824519878438,0,683.0
-0.6644886714745012,-0.08589164928877442,0,779.0
-1.1025169083083015,-0.9500636907983069,0,746.0
-2.2045078500225013,0.4301447019727595,0,558.0
-0.6828467907841544,-0.1926622174453022,0,738.0
-1.4758294474169067,0.20147559055729228,0,706.0
-0.4878907118353629,0.26097440305539615,2,689.0
-0.8019256740843813,-0.3075938268448716,0,705.0
-0.86338646514877,-0.5044154118374155,0,737.0
-0.845261849731223,0.13125295641935145,0,673.0
-1.593830108298019,-0.4033908927386288,0,631.0
-1.4721015782211708,-1.221984288449483,0,780.0
-2.480833755966698,-0.8380169826839189,0,618.0
-2.443906744555681,-0.8548254879904428,0,622.0
-2.8284270498524067,0.4036209689946862,0,734.0
0.1435661276703734,-0.6277963922294499,0,848.0
-1.7424019391988952,-1.3222220951720327,0,710.0
-0.07986964047327315,-2.1581117945714956,0,957.0
-1.819642811469944,-1.7108964438460976,0,770.0
-1.373765517454335,-0.4925113281848738,0,640.0
-2.183222445609654,-0.7136902912317274,0,661.0
-0.9593804430061951,-0.1139442634254118,0,685.0
0.5050511397741079,-1.7394268702208813,1,1019.0
-0.2697961766619808,-0.20335465998771185,0,800.0
-0.9177949563747589,-0.3037248344379716,0,670.0
-1.6497560380169873,-1.7496402910636244,0,775.0
-0.942544067331199,0.34707689815708614,0,680.0
-0.8716984976773161,-0.018766562825099233,0,687.0
-0.3114473157591553,-0.496365126179045,0,825.0
-0.859802018988635,-0.14261122404232363,0,690.0
0.8659008575845241,-0.214411245124571,1,905.0
2.365210247173675,-2.217069495292693,1,1250.0
-0.25730420462596004,-0.7710011217960633,0,955.0
0.6501491131074937,-0.8805566311019205,1,950.0
-1.8568190003792955,-0.8213658298277177,0,660.0
-0.1284054530053465,-0.8215795328381398,0,850.0
-0.6669952618252213,-1.1120273199904578,0,820.0
-0.3357375075123823,-0.07708686939040593,0,940.0
-0.7875522356325354,-0.5958960921485864,0,765.0
-0.47554677048481203,-0.0961328160729731,0,773.0
-0.6908520149137684,-0.8655507600298218,0,775.0
-0.41450624200451214,0.10362799562001512,2,681.0
-0.24361959191469626,0.050345877353540645,2,750.0
-1.092689133119974,-0.10757578217501747,0,650.0
-1.751182356416488,-1.178671090544702,0,700.0
-1.6081549910193458,-1.1905333918221772,0,697.0
-0.03882325014940095,0.47666121405723755,2,710.0
-0.5165649250033094,0.8634794553803672,2,995.0
1.0060722723907207,1.0058259275979158,2,829.0
1.4609089949121445,1.0080755697183534,2,845.0
0.37936591127514885,1.01137058423594,2,740.0
-0.6639680652271639,-1.211568855337762,0,815.0
-2.442005205486455,-0.9628426681236539,0,620.0
-0.24490359353142874,-0.43061345398820555,0,735.0
0.4917145416593989,-0.20641000338179974,2,842.0
0.16002504597225217,0.003574630824546277,2,825.0
-0.7566229476736549,0.2838733601757252,0,655.0
-3.0191152185614514,-0.6243336602063625,0,610.0
-1.5304625759676158,0.1024315574111423,0,655.0
0.4098389817876183,1.0070030563620442,2,740.0
-0.19091467643711085,0.07158191760552668,2,740.0
-1.345268506501393,-0.8963404723731794,0,700.0
-1.5771794839342235,-0.9494718087598241,0,730.0
-0.3037433133446351,-1.877209987576375,0,910.0
-1.7710188851615913,0.5267114050368412,0,715.0
-4.037726913203878,-0.533394382485498,0,432.0
-0.5873179654135621,0.102920339183691,0,670.0
0.22005332342754053,-0.005028872878850978,2,825.0
1.0831327102445545,0.5650246349826634,2,840.0
0.2279505027143055,0.6942212723582702,2,700.0
-2.4252940369482126,0.4145029088927839,0,535.0
-0.6706202436079111,-0.48310059319897536,0,720.0
-2.0178373382010526,-0.06300654763496692,0,600.0
-0.31397054087272225,-0.1953663184479047,0,760.0
-0.5958462277574647,-1.7185277732402766,0,830.0
-0.10099793757339401,0.4181336073448536,2,694.0
-1.0755973241449142,-0.0812355226005267,0,640.0
3.552107982166714,-2.568205650522694,1,1510.0
1.602775756756088,0.4728380824419828,1,945.0
-0.6654699626884613,0.9407439191816079,2,775.0
-1.6967600021146663,-1.7025975856685338,0,761.0
-1.5737774421858803,-0.8060097581185057,0,680.0
-0.2517928760733714,-1.229115720074963,0,840.0
-0.048253243398707374,-0.5097497146890954,0,760.0
0.41373119750330634,-0.7730403172609068,1,885.0
-0.4423304674328002,-0.43276442504362056,0,770.0
-0.5023507247801239,-0.5088747711409123,0,760.0
0.7665310739855665,-0.9210556485225022,1,1130.0
1.0950680272654194,-1.6216743287995303,1,1067.0
0.1627415120595738,-1.5188479545341975,1,920.0
-1.449234090230387,0.14505523547826016,0,755.0
-0.44939594335178984,-0.6604141173080501,0,810.0
-0.5874018829166598,-1.7197380520487056,0,830.0
-0.9527474445952644,-0.6968030441541866,0,690.0
-0.31965678126019736,-0.4774793727749525,0,680.0
0.10330240513403537,-0.797209013642844,0,830.0
0.17428125117114787,0.04471626553677372,2,810.0
1.4282074536824259,-0.3957681293258483,1,940.0
-0.19822651194325985,0.2149224389618264,2,730.0
1.1704996632308284,-0.06596181943986805,2,900.0
0.3387566716678919,-1.6863677416501976,1,930.0
1.1735889134827124,-0.8852604760195014,1,965.0
0.5934604109128611,-0.6852972301524238,1,885.0
-0.6978591714797431,-0.6790690128864988,0,750.0
0.5981984016748519,-0.6987141763789552,1,850.0
0.04359739204182038,0.26663301326901107,2,865.0
-0.8820879899479327,-0.5375048519711823,0,710.0
-0.06763752157618998,-0.15049517624536787,2,811.0
0.7340981941893663,0.9860046254732838,2,810.0
0.10418404113716301,-0.0011598804719510675,2,790.0
0.8951761343634764,0.18401672614957043,2,844.0
1.2254874958053845,1.4050054509261234,2,945.0
1.6690435364904381,1.0744735289722471,2,851.0
1.3973425366471235,0.5183336819820088,1,900.0
-0.4551536314915351,0.16869069459157854,2,680.0
-0.33222657300459185,0.14941518764272768,2,720.0
-0.13378834221896757,-0.2516378005671972,2,810.0
-0.05397772611426862,0.9666049246069406,2,875.0
-0.8030688128354827,1.7549835676471894,2,580.0
-0.2677466054501092,0.3314090870886562,2,693.0
-0.5991165979646291,-0.7220111404635697,0,760.0
-0.5374243192268724,-0.9451205170530295,0,795.0
1.9052428634261165,0.3403220890309337,1,865.0
0.9457549881443105,-0.22585627298688832,1,905.0
0.47634871914759935,-0.4254549824813115,1,840.0
-0.41605534809548383,-0.4278933062741215,0,767.0
0.22888154090737514,-0.3290929197032443,2,840.0
0.5981984016748519,-0.6987141763789552,1,850.0
-0.3522981449251677,-0.13229318779176136,0,740.0
-0.16326153609457938,-0.26180854374224904,0,815.0
-0.9161969279435682,-0.673251687920858,0,680.0
1.7748486041776566,-0.2085024076696357,1,890.0
0.6196718954603522,-0.4188638172154917,1,870.0
0.9708028903060705,-0.24384120759897074,1,910.0
-0.22511332722237606,-0.2928144061459762,0,750.0
-0.9611075977715934,0.29712890366226125,0,610.0
-0.7752837297047444,0.02499472771393883,0,667.0
-0.4356004231195167,-0.7183141201744278,0,790.0
-0.4979955992763831,-0.6805814535553772,0,780.0
2.9204330844378767,-0.16225797590753901,1,1100.0
-0.7652114516838131,0.014914147986419414,0,670.0
-1.5251051210683666,0.09337826973592407,0,610.0
-0.07535007308690779,0.024571699411603656,2,790.0
0.05321233199553864,0.9462707364128065,2,700.0
0.659791986358396,-0.08244902114834653,2,830.0
1.121304949041632,-0.20948902067919972,1,930.0
-0.4413350583161528,0.33779264652703367,2,660.0
1.974177039397128,-1.5580935569581111,1,1260.0
-0.5524350026320887,-0.359403924515831,0,750.0
-0.2751550055517118,0.1124455228811651,2,730.0
-1.3893317531312555,0.7039829291883234,0,580.0
-0.5615434721185042,-0.1582260438702873,0,720.0
3.154724249892899,-1.40083005142973,1,1282.0
0.015884924965491577,0.667035539412933,2,860.0
0.9078102493501139,-0.004493406142810996,2,830.0
0.16834413745214327,0.41652210183274824,2,760.0
1.007782698487776,0.0642337378188879,1,880.0
4.055781163722907,-3.6414133673121176,1,1700.0
1.5773376562233574,0.26387368306999026,1,940.0
1.3566499562063403,-1.3560843640886084,1,1027.0
-0.013392849339094086,0.4425694066228496,2,760.0
-1.3506950026184241,-0.10104431830039876,0,855.0
0.2455517118506882,-0.8463867081242118,1,970.0
2.9919367300811586,-0.40116852317213336,1,1140.0
-0.1919815333060297,0.412242712261549,2,740.0
-0.013934906601842191,-0.2976056251653402,2,820.0
0.9155526579284299,-1.174390564742856,1,885.0
-0.45501105637253436,-1.7259749812547052,0,865.0
0.9261527620694008,-1.1487769738575988,1,990.0
-1.189327207736593,0.4466550957085059,0,620.0
0.4806308128487186,-1.6507789655131189,1,950.0
0.49653401795753493,-0.6714053342643698,1,885.0
1.415484218995903,-2.4469344335563017,1,900.0
0.9537588353690929,-0.9528611749878328,1,960.0
-1.4457375477866636,-0.5956986253052652,0,640.0
1.177419559765823,-0.3039013885968233,1,960.0
-0.5165444634913311,-0.5932102524579208,0,790.0
-1.068124648482406,-0.7793743657746065,0,685.0
0.6528572387013125,-1.990495310052907,1,970.0
-1.3697615433866894,-1.335759755000267,0,775.0
0.798952911531462,-1.299971560105905,1,970.0
-0.791509142657342,-0.2819539255507349,0,735.0
0.9646744579265506,-0.6172319333178063,1,945.0
0.7460903418755673,-0.24042439473143667,1,920.0
-0.791509142657342,-0.2819539255507349,0,735.0
-0.6827751358863645,-0.538938361413424,0,740.0
0.21577383903490194,-0.8996986770862868,1,860.0
1.4644910567866647,0.45112981713187966,1,920.0
1.1011212521593974,-1.6023889519314864,1,940.0
-2.0036707995676264,0.2516522648927422,0,610.0
-0.576197895796334,-0.3416031627659009,0,745.0
-0.8043393656674207,-0.5790951259360542,0,760.0
-5.6858289205634405,-0.2692619450229568,0,570.0
-1.237757683011322,-0.5407944687643592,0,650.0
-3.1488620341513074,-0.5481579459285317,0,590.0
-0.9010078263398736,-0.3205258006505039,0,675.0
-0.5301916311954187,-0.22029937898903293,0,750.0
-0.5886299003274785,-0.49650887896783386,0,760.0
-3.069281509480622,-0.4604560945767281,0,595.0
-0.8163731517196312,-0.5917653579546005,0,765.0
1.152162212578672,-0.8644803731761289,1,975.0
-0.5755645238162563,-1.011628926211229,0,820.0
-1.4959817046383679,-0.8747396266836105,0,700.0
-1.0105043791064712,-0.7074561232445706,0,736.0
0.3642360439569289,-0.4127006990651774,1,710.0
-1.2573343109361514,-0.055188217810425294,0,640.0
-0.29901531122801067,-0.34145940997711227,0,810.0
-0.5910951726977299,0.04422475916081891,0,730.0
-0.3327106775240243,-0.35102501374794975,0,815.0
-0.5900081284782136,-0.9231890211091135,0,790.0
-0.817849707314878,-0.004674359265572157,0,890.0
